date,type,category,description,amount,payment_method
2026-08-02,Expense,Food,Lunch,163.26,UPI
2026-08-03,Expense,Transport,Metro,65.3,UPI
2026-08-04,Expense,Shopping,Clothes,979.56,Card
2026-08-05,Expense,Entertainment,Movie,261.22,UPI
2026-08-06,Expense,Food,Dinner,228.56,UPI
2026-08-07,Expense,Education,Course,1306.08,Card
2026-08-08,Expense,Food,dinner,297.13,UPI
2026-08-08,Expense,Food,Coffee,65.3,UPI
2026-05-03,Expense,Entertainment,Entertainment expense,107.52,Card
2026-05-04,Expense,Food,Food expense,127.98,UPI
2026-05-04,Expense,Food,Food expense,307.44,Bank
2026-05-05,Expense,Entertainment,Entertainment expense,635.42,Cash
2026-05-06,Expense,Education,Education expense,247.48,UPI
2026-05-06,Expense,Healthcare,Healthcare expense,152.71,UPI
2026-05-07,Expense,Transport,Transport expense,197.28,Cash
2026-05-08,Expense,Food,Food expense,306.81,Card
2026-05-09,Expense,Entertainment,Entertainment expense,378.23,Cash
2026-05-10,Expense,Food,Food expense,463.99,Cash
2026-05-11,Expense,Transport,Transport expense,175.23,UPI
2026-05-11,Expense,Shopping,Shopping expense,738.09,Bank
2026-05-11,Expense,Transport,Transport expense,222.14,Cash
2026-05-12,Expense,Transport,Transport expense,146.14,Cash
2026-05-12,Expense,Bills,Bills expense,811.83,Cash
2026-05-13,Expense,Bills,Bills expense,1934.04,Card
2026-05-13,Expense,Transport,Transport expense,93.82,Cash
2026-05-14,Expense,Education,Education expense,1203.14,UPI
2026-05-14,Expense,Entertainment,Entertainment expense,605.53,Bank
2026-05-14,Expense,Entertainment,Entertainment expense,782.62,Card
2026-05-15,Expense,Transport,Transport expense,308.0,Cash
2026-05-15,Expense,Transport,Transport expense,299.97,Bank
2026-05-16,Expense,Bills,Bills expense,470.14,Cash
2026-05-16,Expense,Transport,Transport expense,153.33,UPI
2026-05-16,Expense,Entertainment,Entertainment expense,430.94,Cash
2026-05-17,Expense,Bills,Bills expense,1703.5,Card
2026-05-17,Expense,Education,Education expense,1174.19,Cash
2026-05-18,Expense,Shopping,Shopping expense,1245.13,Cash
2026-05-18,Expense,Transport,Transport expense,110.12,Bank
2026-05-18,Expense,Food,Food expense,167.56,UPI
2026-05-19,Expense,Healthcare,Healthcare expense,449.21,Cash
2026-05-19,Expense,Entertainment,Entertainment expense,361.81,Card
2026-05-20,Expense,Education,Education expense,694.61,UPI
2026-05-20,Expense,Shopping,Shopping expense,509.56,Cash
2026-05-21,Expense,Transport,Transport expense,144.47,Card
2026-05-22,Expense,Shopping,Shopping expense,1049.15,Bank
